name,screen_name,location,url,followers_count,friends_count,statuses_count,created_at,bySheet,keywords,display_url,listed_count,favourites_count,expanded_url,location,description
☠,freejezza,"Know yourself,know your worth.",,804,765,17925,Mon Feb 13 02:14:20 +0000 2012,Senators,Luther Strange,,4,19403,,"Know yourself,know your worth.","I'm a new soul, I came to this strange world. Hoping I could learn a bit about how to give and take. Free spirit. Wild heart. Martin Luther King Jr. is my hero."
Darren,strange1luther,,,96,201,81,Thu Jul 23 23:39:37 +0000 2009,Senators,Luther Strange,,0,25,,,
Luther Strange,Strange4Senate,,,0,0,0,Wed Nov 23 14:15:42 +0000 2016,Senators,Luther Strange,,0,0,,,
Luther Strange,SenStrange,,,0,0,0,Tue Feb 07 00:37:57 +0000 2017,Senators,Luther Strange,,0,0,,,
Lisa Murkowski,LisaForSenate,Alaska,https://t.co/EOhO8gjrwA,4913,509,1019,Wed Jun 02 23:58:26 +0000 2010,Senators,Lisa Murkowski,,218,6,,Alaska,Fighting for Alaska. Always.
Sen. Lisa Murkowski,lisamurkowski,"Alaska & Washington, D.C.",https://t.co/I9sMLHODtC,158575,546,4843,Thu Dec 11 21:55:19 +0000 2008,Senators,Lisa Murkowski,,3009,86,,"Alaska & Washington, D.C.",Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.
Karina Petersen,karinalpetersen,United States,,413,260,155,Tue Mar 31 06:52:04 +0000 2009,Senators,Lisa Murkowski,,39,12,,United States,Communications Director for U.S. Senator Lisa Murkowski. Previously with international relief org Samaritan's Purse. Former reporter/anchor. Lifelong Alaskan.
Lisa Murkowski,MurkyMurkowski,Washington DC,http://t.co/GUWfHxxpQ6,224,314,89,Fri Jun 18 09:05:58 +0000 2010,Senators,Lisa Murkowski,,10,0,,Washington DC,I reject the false choice between staying beholden to constituents or principles and playing the big government game in Washington.
GSPP Lisa Murkowski,gspp_lmurkowski,,,68,65,53,Wed Nov 02 02:59:02 +0000 2016,Senators,Lisa Murkowski,,2,90,,,"Senior Republican Senator from Alaska. This account is for @GoldmanSchool budget simulation, not the real Lisa Murkowski."
Write Lisa Murkowski,WriteInLisa,,,84,109,461,Sat Sep 11 03:51:20 +0000 2010,Senators,Lisa Murkowski,,10,0,,,"Not affiliated with the candidate. I'm you, a concerned Alaskan citizen. This Nov. I'm Writing in Lisa Murkowski. So should you!"
Lisa Murkowski Dove,murkowski_dove,,,15,12,5,Tue May 17 23:31:19 +0000 2016,Senators,Lisa Murkowski,,0,1,,,
Lisa Murkowski,PapMurkowski,"Juneau, AK",https://t.co/0yicql9css,19,18,1,Tue Oct 10 20:55:34 +0000 2017,Senators,Lisa Murkowski,,0,0,,"Juneau, AK","I am the Senor Senator for Alaska (simulation) I like hunting, fishing and love Alaska! I support Indigenous rights!"
Fake Lisa Murkowski,FMurkowski,ALASKA,,8,10,5,Fri Mar 24 03:49:15 +0000 2017,Senators,Lisa Murkowski,,0,0,,ALASKA,I can see Russia from Sarah Palin's house
Lisa Murkowski,LisaForSenate_,"Fairbanks, Alaska",http://t.co/N67hvqaBMd,11,7,2,Wed Oct 13 09:43:27 +0000 2010,Senators,Lisa Murkowski,,1,0,,"Fairbanks, Alaska",Follow the Fairbanks Headquarters for up to the minute news from the Lisa Murkowski Fairbanks front.
Lisa Murkowski,lisamurk55,,,2,0,0,Wed Nov 03 14:25:40 +0000 2010,Senators,Lisa Murkowski,,0,0,,,
Lisa Murkowski,Lmsenator,"Anchorage, Alaska",https://t.co/1hcOEae6yE,1,3,13,Wed Nov 05 02:00:38 +0000 2014,Senators,Lisa Murkowski,,0,0,,"Anchorage, Alaska",
Lisa Murkowski News,MurkowskiNews,,,9,0,24,Fri Feb 18 15:19:22 +0000 2011,Senators,Lisa Murkowski,,0,0,,,Lisa Murkowski: Breaking news and updates from HuffPost
Lisa Eyes,Murkowski_eyes,Alaska,,1,1,7,Sat Oct 16 02:02:08 +0000 2010,Senators,Lisa Murkowski,,0,0,,Alaska,No I don't wear eyeglasses and I don't have a avatar of my eyes either. Maybe in Nov. I will.
elji,Murkowski_Lisa,,,1,0,0,Mon Nov 21 22:53:09 +0000 2011,Senators,Lisa Murkowski,,0,0,,,
Dan Sullivan,DanSullivan2014,"Anchorage, AK",http://t.co/EnGeUD8pnt,2800,637,1008,Mon Sep 16 02:47:59 +0000 2013,Senators,Dan Sullivan,,162,6,,"Anchorage, AK",Fmr Dept of Natural Resources Commissioner & Alaska Attorney General. Fmr Ass't Secy of State. Proud Marine. Republican candidate for U.S. Senate. #StandWithDan
SenDanSullivan,SenDanSullivan,,http://t.co/9uIoLCChCm,15480,591,1799,Wed Nov 05 21:25:42 +0000 2014,Senators,Dan Sullivan,,662,71,,,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.
Dan Sullivan,TimesDan,"Tampa, Fla., USA",http://t.co/SzpK4gDx1I,1941,1556,6668,Fri Apr 19 08:34:36 +0000 2013,Senators,Dan Sullivan,,99,877,,"Tampa, Fla., USA",Courts reporter for the Tampa Bay Times. Man about town. Utah native. @UofTampa graduate. Fixer of breaking news.
Mayor Dan Sullivan,MayorSullivan,Anchorage,https://t.co/FEYLkV1cuK,3498,776,2887,Tue Jul 21 16:44:20 +0000 2009,Senators,Dan Sullivan,,185,0,,Anchorage,The official Twitter account for former Anchorage Mayor Dan Sullivan.
Dan Sullivan,DanielJSullivan,Brooklyn NY,https://t.co/D7vNHYyKwo,5013,1933,5015,Tue Nov 11 14:24:53 +0000 2008,Senators,Dan Sullivan,,253,836,,Brooklyn NY,"Design Director @weareprolific in Brooklyn. https://t.co/zKNbkEfDf4
https://t.co/D7vNHYyKwo"
Dan Sully Sullivan,dansullyrules,Chicago,http://t.co/wgnDKc9IHC,1233,1166,977,Tue Mar 03 04:52:19 +0000 2009,Senators,Dan Sullivan,,27,704,,Chicago,"I'm these things in this order: A Sullivan, a Chicagoan, a Poet. I'm not the best at any of 'em but homie, I try."
Daniel P Sullivan,EndGenocideDan,"Washington, DC",,1675,350,3563,Tue Apr 26 13:17:46 +0000 2011,Senators,Dan Sullivan,,64,195,,"Washington, DC",Senior Advocate @RefugeesIntl
Dan O'Sullivan,DanOsullivan_1,"Bournemouth, England",,698,299,2894,Tue Feb 07 22:05:30 +0000 2012,Senators,Dan Sullivan,,4,1273,,"Bournemouth, England",Surround yourself with people who want the best for you✌🏻
Dan Sullivan,dtsull,Massachusetts,,1183,1714,6837,Fri Feb 03 05:11:06 +0000 2012,Senators,Dan Sullivan,,4,843,,Massachusetts,Assistant boys basketball coach at Worcester Academy. #WABasketball
Dan Sullivan,dansully,"Evansville, Indiana",http://t.co/kvxuJfxQWM,687,1069,15111,Mon Feb 12 09:27:27 +0000 2007,Senators,Dan Sullivan,,51,293,,"Evansville, Indiana","Digital Marketing Specialist, Hood Pastor, active in a dozen things in Evansville, Indiana, the middle of everywhere."
Dan O'Sullivan,DOSullivanRace,"Ballarat, Victoria, Australia",https://t.co/EFoo8lxvOP,432,57,332,Thu May 15 15:31:10 +0000 2014,Senators,Dan Sullivan,,4,274,,"Ballarat, Victoria, Australia","Account for Dan O'Sullivan Racing, keeping you up to date with news from the Ballarat thoroughbred stable. Views not necessarily those of the trainer himself"
Daniel O'Sullivan,DanOSullivanUSA,Dublin Born. New York Native.,https://t.co/1YByQuFWxE,1821,1290,1808,Tue May 18 05:00:18 +0000 2010,Senators,Dan Sullivan,,84,313,,Dublin Born. New York Native.,Entrepreneur. Technologist. Founder.  Less Noise. More Signal.  #Innovation #Technology #AI #VR #Speech #Digital | #CEO #CFO #CMO #CIO #CDO
Dan Sullivan,SullivanForAR,"Jonesboro, AR",,826,266,1360,Sun Apr 15 21:13:48 +0000 2012,Senators,Dan Sullivan,,31,78,,"Jonesboro, AR","Christian, husband, father, brother and son.  Love the USA and the Natural  State! Now Candidate for Arkansas House District 53."
Dan O'Sullivan,dan_osullivan,"Loudonville, NY",http://t.co/hHyFOhfuum,894,1064,5215,Thu Mar 19 13:55:36 +0000 2009,Senators,Dan Sullivan,,130,160,,"Loudonville, NY","Technology Marketing  - strategy, positioning, marketing, sales. newmedia, dataviz, content, websvs, seo, socmed, OTT #economics #energy #politics #history"
Dan Sullivan,sullywine,"Prince Edward County, ON",http://t.co/klabCnh9BG,831,211,545,Sat Feb 27 22:06:38 +0000 2010,Senators,Dan Sullivan,,26,147,,"Prince Edward County, ON",
Daniel O'Sullivan,DanMOSullivan,"London, UK",http://t.co/Pu7V4rismL,400,435,1190,Tue Mar 27 15:29:50 +0000 2012,Senators,Dan Sullivan,,55,153,,"London, UK",Education Specialist/COO @CodeKingdoms; @TeachFirst Ambassador; Masters in Educational Leadership; now blending Computer Science education & gaming.
Dan Sullivan,boisewriterguy,"Boise, Idaho",http://t.co/ZIlkW0zyrF,689,1970,1020,Sat Oct 23 22:33:14 +0000 2010,Senators,Dan Sullivan,,26,16,,"Boise, Idaho","Author of Travels with Amy, Downwind Run, and the new blockbuster The Greatest Patriot...and I like cookies."
Dan Sullivan,_dsully,"New Brunswick, NJ",,306,634,5650,Thu Jul 10 18:30:36 +0000 2008,Senators,Dan Sullivan,,21,1636,,"New Brunswick, NJ",#Mobile #Product #eCommerce #Marketing #Tech #phillysports #PennState | All views expressed are my own
Dan O'Sullivan,osullidan,"Highfields, Queensland",http://t.co/78JhtSl4oi,6393,1779,430,Fri Jun 06 01:34:56 +0000 2014,Senators,Dan Sullivan,,27,489,,"Highfields, Queensland","Author of Fantasy Adventure Novels. Website https://t.co/78JhtSC7qi. 
NEW Middle Grade Fantasy Series COMING SOON! The Ruby Key Series, by Danielle O'Sullivan."
Dan Sullivan,d114,,http://t.co/L93evrMYX9,351,493,961,Mon Jan 26 17:54:55 +0000 2009,Senators,Dan Sullivan,,24,182,,,
John McCain,SenJohnMcCain,"Phoenix, AZ / Washington, DC",,2998908,379,13947,Fri Jan 23 13:42:31 +0000 2009,Senators,John McCain,,20161,85,,"Phoenix, AZ / Washington, DC","U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee"
Cindy McCain,cindymccain,Arizona,https://t.co/6h93PhA5cz,33893,1203,5086,Wed Jul 29 18:38:51 +0000 2009,Senators,John McCain,,458,36,,Arizona,"Wife of Senator John McCain, Blue Star Mother, Business Owner, Humanitarian and a grandmother!"
Team McCain,TeamMcCain,"Phoenix, Arizona",https://t.co/417eJWendQ,14393,7950,5255,Wed Apr 11 02:02:53 +0000 2007,Senators,John McCain,,450,1241,,"Phoenix, Arizona",John McCain has a remarkable record of leadership and experience that embodies his unwavering lifetime commitment to service. Follow us on Snapchat: TeamMcCain
John McCain News,McCainNews,"Phoenix, Arizona",http://t.co/mlwSat4Cmp,7011,18,2370,Sat Mar 08 09:46:29 +0000 2008,Senators,John McCain,,120,0,,"Phoenix, Arizona",UNOFFICIAL TWITTER - News about John McCain
John McCain Daily,JohnMcCainDaily,,,3523,1050,1292,Wed Feb 10 13:41:07 +0000 2010,Senators,John McCain,,21,0,,,"Breaking news about John McCain, curated by @quiboatnews."
John McCain,JohnMcCain,"Phoenix, Arizona",http://t.co/Aq1JaMitdK,3474,1,1,Mon Feb 22 23:05:22 +0000 2010,Senators,John McCain,,82,0,,"Phoenix, Arizona",John McCain has a remarkable record of leadership and experience that embodies his unwavering lifetime commitment to service.
John McCain,SenatorJMcCain,Washington D.C.,,1245,3,1,Tue Feb 26 02:36:53 +0000 2013,Senators,John McCain,,6,0,,Washington D.C.,U.S. Senator John McCain (R-AZ)
Justin Sexton,JustinSextonIN,The Right Wing,https://t.co/jizeTa1U0I,587,767,4628,Fri Oct 21 15:47:27 +0000 2011,Senators,John McCain,,5,10205,,The Right Wing,"@iugop chairman, perfect mix of Margaret Thatcher & Lindsey Graham, doing my part to take Indiana to the next level, while fangirling John McCain & Nikki Haley"
John Weaver,JWGOP,"Lake Travis, Texas",,48341,8976,64420,Thu Mar 22 00:42:37 +0000 2012,Senators,John McCain,,1007,24916,,"Lake Travis, Texas",Proud husband to Irish citizen & dad to 2 awesome kids. Aggie. Spurs. McCain/Kasich strategist. @CNN contributor. Views my own. Retweets interesting. #TwoPaths
twaboutMCCAIN,twaboutMCCAIN,twitter,http://t.co/7Ugv8pkcEw,319,209,167430,Sun May 04 10:32:04 +0000 2008,Senators,John McCain,,24,0,,twitter,Twitter users about John McCain
joe ruzicka,Smokinjoe96,,,450,624,1529,Wed Apr 13 14:12:55 +0000 2011,Senators,John McCain,,9,1147,,,"Naval Aviator, former Legislative Fellow for Senator John McCain, and nominated for World's Best Dad"
John McCain is a loser,nathanlthompson,The University of Oklahoma,https://t.co/nBLTN4zhdY,622,528,7684,Sat Nov 03 00:58:27 +0000 2012,Senators,John McCain,,9,22392,,The University of Oklahoma,trying to watch my sodium
John (Mac) McCain,JRMac1953,SouthEast Missouri,https://t.co/4YXgVukDv3,804,1283,5085,Mon Jul 27 22:56:07 +0000 2009,Senators,John McCain,,47,607,,SouthEast Missouri,"Lifestyle Trainer, Network Marketer, Entrepreneur. I help people earn the money they need in the time they have available."
Retire John McCain,retiremccain16,,,437,376,972,Wed Mar 04 22:27:24 +0000 2015,Senators,John McCain,,6,119,,,Because 30 years in the U.S. Senate is way too long! Supporting @kelliwardaz for #AZSEN in the #AZGOP primary for 2016.
Dr F Dejahang,fdejahang,"Lewisham, London",https://t.co/XM0ORaufrQ,7320,6843,64514,Tue Dec 25 21:32:31 +0000 2012,Senators,John McCain,,152,26659,,"Lewisham, London",A TO Z https://t.co/bN1e64HAee  We must put an end to war before warmongers (Bush..John McCain) put an end to us all😡.
#IStandWithTrump,Mericafirst2017,"Alba,Texas",,2173,310,3757,Fri Jan 27 15:02:58 +0000 2017,Senators,John McCain,,2,804,,"Alba,Texas",simply tired of all the brainwashed idiots that think the swamp works for them. John McCain is no hero.
drizzy navidad,drakelambright,catching waves w delanes,,974,426,4693,Thu Jul 19 19:42:02 +0000 2012,Senators,John McCain,,2,9707,,catching waves w delanes,I'm only about as sexy as John McCain | Oakland University | CKI
Andy Daugherty,TheADaug,"ÜT: 33.770686,-84.389468",,23676,605,1844,Mon Jan 05 19:38:53 +0000 2009,Senators,John McCain,,5,20,,"ÜT: 33.770686,-84.389468",John McCain once thanked me for my service.
Senator,John_Mccain_1,,,681,27,5,Thu Apr 14 17:10:39 +0000 2016,Senators,John McCain,,1,1,,,#swag
John McCain’s Regular Order™,opiniontax,,https://t.co/QZB4sDvY8B,230,510,3826,Thu Oct 11 00:51:38 +0000 2012,Senators,John McCain,,3,22297,,,Join me as I tweet about light topics such as sports and the downfall of western civilization and all of its institutions as we know it! Opinions only mine.
Jeff Flake,JeffFlake,"Mesa, AZ",,273305,217,2404,Sat Aug 30 17:00:58 +0000 2008,Senators,Jeff Flake,,3141,37,,"Mesa, AZ",Senator from Arizona
Flake for Senate,FlakeforSenate,Arizona,https://t.co/i3gUL33Jlt,3993,447,384,Tue Mar 01 23:35:13 +0000 2011,Senators,Jeff Flake,,198,3,,Arizona,The official account of U.S. Senator Jeff Flake’s campaign. You can follow Jeff's personal account at @JeffFlake.
ChandlerMorse,ChandlerMorse,"Baltimore, MD",,426,660,1342,Fri Sep 19 13:22:02 +0000 2008,Senators,Jeff Flake,,13,592,,"Baltimore, MD",Chief of Staff for U.S. Senator Jeff Flake (R-AZ). Views are my own.
D.C. Jeff Flake,DCJeffFlake,"Washington, D.C.",http://t.co/4OdmpePaaW,1369,1815,1844,Mon Apr 02 18:25:45 +0000 2012,Senators,Jeff Flake,,18,0,,"Washington, D.C.",Loves Washington lobbyists. Enjoys taxpayer perks. Advocate for a TRILLION dollar energy tax. Die hard fan of amnesty.
Buchanan Davis,BuchananDavis,,,386,528,581,Wed Mar 09 17:04:01 +0000 2011,Senators,Jeff Flake,,7,40,,,Outreach Coordinator for Senator Jeff Flake.
Jeff Flake,Jefflakes15,"Bridgeville, PA",https://t.co/38gadglSK6,274,169,1728,Tue Aug 14 18:38:33 +0000 2012,Senators,Jeff Flake,,1,2057,,"Bridgeville, PA",yeezus a genius. dicks out for harambe.
#DonTheCon,BloatedPOTUS,NewlyIndependentVoterVille,https://t.co/hpkVDZpp0C,1231,1193,21318,Thu Jan 29 21:06:24 +0000 2009,Senators,Jeff Flake,,12,52117,,NewlyIndependentVoterVille,"When the next generation asks us, why didn't you do something? Why didn't you speak up? What are we going to say?
- Sen. Jeff Flake.    
Blocked by @DrDavidDuke"
Team Kelli Ward,TeamKelliWard,"Arizona, USA",https://t.co/q7wZtKnQlI,895,223,2237,Thu Jan 07 21:28:00 +0000 2016,Senators,Jeff Flake,,9,2074,,"Arizona, USA",Join the fight with @KelliWardAZ as she removes the #SanctuarySenator Jeff Flake in 2018. We are tired of Fake Conservatives! https://t.co/ME9GA6YJLx
Jeff Flake,JeffFlake2012,"Mesa, Arizona",http://t.co/mg28rhSYXp,154,0,1,Tue Mar 15 16:30:07 +0000 2011,Senators,Jeff Flake,,10,0,,"Mesa, Arizona","I am a 5th generation Arizonan, raised on a ranch in Snowflake, AZ. With your support and encouragement, I would be honored to represent you in the U.S. Senate."
NormalDawn - Jeff Flake is toast 🎅🏻,noprezzie2012,"Phoenix, AZ ",,7093,6513,262446,Thu Oct 20 00:38:20 +0000 2011,Senators,Jeff Flake,,235,57071,,"Phoenix, AZ ",Usually found giving #AZmedia the side eye 👁 Identify as a militant normal.
FakeJeffFlake,FakeJeffFlake,,,26,22,103,Sat Mar 28 19:00:19 +0000 2015,Senators,Jeff Flake,,0,42,,,
Senator Jeff Flake,SenJeffFlake,,,658,0,0,Thu Nov 08 18:07:31 +0000 2012,Senators,Jeff Flake,,6,0,,,
Jeff Flake,jeffreyflake,"San Jose, CA",,174,566,5472,Wed Nov 24 11:25:34 +0000 2010,Senators,Jeff Flake,,6,10868,,"San Jose, CA","two scoops, two genders, two terms"
Shake Jeff Flake,ShakeJeffFlake,"Arizona, USA",,43,82,104,Sun Dec 13 02:13:29 +0000 2015,Senators,Jeff Flake,,0,119,,"Arizona, USA",A Flake is someone who is unreliable and agrees to your face to do something but when your back is turned he doesn't follow through. NO MORE Flakes in 2018.
Jeff Flake,JeffFlake011,,,20,109,2,Tue Aug 29 14:32:48 +0000 2017,Senators,Jeff Flake,,0,0,,,
Jeff Flake,jflake66,"Minneapolis, MN",,14,109,4,Sat Oct 11 21:59:39 +0000 2014,Senators,Jeff Flake,,0,2,,"Minneapolis, MN",
Jeff is a Flake,JeffisaFlake,"Arizona, USA",,3,39,5,Thu Jun 22 17:25:08 +0000 2017,Senators,Jeff Flake,,0,0,,"Arizona, USA","Senator Flake hasn't stood up for Arizonans, he doesn't deserve to serve another term.           VOTE HIM OUT NOVEMBER 6, 2018"
JEFF FLAKE,MR_UNIQUE24,,,7,1,1,Wed Sep 09 03:32:44 +0000 2009,Senators,Jeff Flake,,0,0,,,
Jeff Flake,realjeffflake,Phoenix,,9,7,0,Sat Jun 17 04:02:26 +0000 2017,Senators,Jeff Flake,,0,0,,Phoenix,*Parody Account
NotJeffFlake,NotJeffFlake,,,5,0,0,Tue Mar 15 21:35:47 +0000 2011,Senators,Jeff Flake,,0,0,,,
John Boozman,Boozman4AR,,https://t.co/OvL8MNA0o6,3839,571,1448,Fri Feb 05 19:18:28 +0000 2010,Senators,John Boozman,,227,75,,,This is the official Twitter account for my campaign to represent Arkansas in the U.S. Senate.
Senator John Boozman,JohnBoozman,Arkansas,http://t.co/PnVwyyvcAT,55371,719,3457,Fri Apr 27 16:05:52 +0000 2007,Senators,John Boozman,,2163,151,,Arkansas,Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843
GSPP John Boozman,BoozmanGSPP,Arkansas,,18,35,16,Wed Oct 25 05:41:26 +0000 2017,Senators,John Boozman,,0,23,,Arkansas,"FAKE account, NOT a real senator. #gsppbs"
John Boozman AGS,BoozmanAgs,,,0,20,3,Fri Feb 17 22:13:36 +0000 2017,Senators,John Boozman,,0,0,,,American Government Simulation Senator *Not a real politician or real Boozman*
John Boozman,johnboozman21,,,1,0,0,Thu Aug 22 07:29:52 +0000 2013,Senators,John Boozman,,0,0,,,
John Boozman,boozman4senate,,,0,0,0,Tue Feb 02 21:32:10 +0000 2010,Senators,John Boozman,,0,0,,,
John Boozman,SenBoozman,,,8,0,0,Thu Jun 10 18:43:26 +0000 2010,Senators,John Boozman,,0,0,,,
John Boozman,PAPboozman,,,0,2,0,Tue Oct 10 17:19:35 +0000 2017,Senators,John Boozman,,0,1,,,Parody Account
Definitely not John,Not_Boozman,,,334,1524,33,Thu Jun 10 18:46:26 +0000 2010,Senators,John Boozman,,7,0,,,
sdff,BoozmanJohn,,,0,0,0,Thu Nov 17 23:12:13 +0000 2011,Senators,John Boozman,,0,0,,,
John Burchett,boozman987,,,1,12,3,Sat May 21 22:20:40 +0000 2016,Senators,John Boozman,,0,0,,,
Tom Cotton,TomCottonAR,"Dardanelle, AR",https://t.co/46xELWPgQF,28972,0,3723,Tue Jul 26 23:57:10 +0000 2011,Senators,Tom Cotton,,643,4,,"Dardanelle, AR","U.S. Senator for Arkansas. For official updates, see @SenTomCotton. RLTW."
Tom Cotton,SenTomCotton,,http://t.co/gR93LLUqRV,100985,375,7476,Sat Nov 24 19:33:10 +0000 2012,Senators,Tom Cotton,,1881,8,,,U.S. Senator proudly serving the state of Arkansas.
Tom Cotton,TomSCotton,"London, England",,6392,1517,41026,Sat Nov 29 14:56:53 +0000 2008,Senators,Tom Cotton,,96,5493,,"London, England",The other absolute boy @absoluteradio. USDA certified lean. Views my own obvs
